,Season,Episode,Title,Date Aired,Contestants,Voted Off
0,9,1,Week 1,5/27/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",
1,9,2,Week 2,6/3/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",
2,9,3,Week 3,6/10/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",
3,9,4,Week 4,6/17/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",
4,9,5,Week 5,6/24/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",
5,9,6,Week 6,7/1/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",
6,9,7,Week 7,7/8/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",
7,9,8,Week 8,7/15/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",
9,9,10,Week 9,7/29/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",
10,9,11,Week 10,8/5/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",
